annual_sales_quant,avg_sales_price,category,color,condition,description,highest_bid,lowest_ask,product_title,release_date,retail_price,style,ticker,year_high,year_low,,
1,400,collectibles,,New,,281,400,Bearbrick Sacai 100% & 400% Set White,,134,, BB-SA14SWH,400,400,,
284,55,streetwear,,New,"Supreme's Levitation Tee released as a part of their FW19 Week One drop and contains one of the most interesting references of the entire drop. The graphic, which appears to be several monks floating under the word Supreme, was inspired by an album cover that is very similar. The album is called ""Chants"" and was written by Benedictine Monks of Santo Domingo de Silos. The tees featuring the graphics were released in seven different colors. The Supreme Levitation Tee was released on August 22nd, 2019 and retailed for $38 USD.",55,52,Supreme Levitation Tee Black,8/22/19 0:00,38,, SUP-LETBK,72,48,,
1,126,collectibles,,New,,81,220,Takashi Murakami Octopus Skateboard Deck Pink,11/4/17 0:00,200,, CX-OSPK,126,126,,
1,325,collectibles,,New,,96,,Takashi Murakami Flower Plush 60 CM Yellow,11/3/18 0:00,300,, CX-FP60CYL,325,325,,
1,75,collectibles,,New,,100,,Takashi Murakami Ego Book Multi,10/1/12 0:00,50,, TKM-EGBMTI,75,75,,
1,95,collectibles,,New,,105,140,Bearbrick Funshine Bear 400% Yellow,,80,, BB-FUB4YW,95,95,,
1,90,collectibles,,New,,151,210,BAPE XXV Cities Camo Skateboard Deck Red,9/29/18 0:00,160,, BA-XCCSRD,90,90,,
1,350,collectibles,,New,,250,624,Bearbrick Woody 400% Multi,,70,, BB-WO4MTI,350,350,,
1,30,collectibles,,Graded,,,67,Barry Bonds 1987 Topps #320,,,, TP-BB1T87,30,30,,
1,175,collectibles,,New,,20,150,Bearbrick Bear Toru 100% & 400% Set Burgundy,,96,, BB-BET14SBGND,175,175,,
1,140,collectibles,,New,,95,100,Bearbrick Nyabrick Hello Kitty 400% White,,80,, BB-NYHK4WH,140,140,,
1,500,collectibles,,New,"Please note: Due to the age and nature of this product, small surface scratches, dust, and/or minor flaws may exist.",200,1000,KAWS x Medicom Bus Stop Series Volume 5 Vinyl Toy Silver/Silver,,,, KW-XMBSSV5VTSSV,500,500,,
1,30,collectibles,,New,,15,40,Takashi Murakami Kai Kai Pin White,11/4/17 0:00,14,, CMPLXC-KKPN-WHT,30,30,,
1,2555,collectibles,,New,,5251,8500,KAWS Star Wars Darth Vader Companion Vinyl Figure Black,,,, K-STWDVCVBK,2555,2555,,
1,450,collectibles,,Graded,,375,,Patrick Mahomes 2017 Panini Optic Rookie Holo #177,,,, PN-PM2PORH17,450,450,,
326,95,streetwear,,New,,49,47,Virgil Abloh x MCA Figures of Speech FOS Tee White,6/9/19 0:00,67,, VA-XMFOSFWH,250,42,,
1,3333,collectibles,,New,,1202,3500,KAWS Warm Regards Bar Vinyl Figure Brown,,,, K-WARBVFBRN,3333,3333,,
1,50,collectibles,,Graded,"The Kobe Bryant 1996 Topps Rookie was not the biggest name in this set when it came out. Allen Iverson, whose rookie is also featured in this set, was the #1 pick of the 1996 NBA Draft. Kobe was less known than Iverson after coming out of Lower Merion High School while Iverson played in the Final Four with Georgetown. Young Kobe graces the front of this card as he drives the lane which he would spend the next 20 years doing.",225,120,Kobe Bryant 1996 Topps Rookie #138,,,, TP-KB1TR96,50,50,,
1,20,collectibles,,Graded,,65,25,Sam Darnold 2018 Panini Prizm Rookie #203,,,, PN-SD2PPR18,20,20,,
1,275,collectibles,,New,,255,350,Cote Escriva Creepy Snoop Yohood Edition Vinyl Figure Multi,9/3/19 0:00,190,, CEV-CRSYEVFMTI,275,275,,
1,90,collectibles,,New,,,200,KAWS Chum Keychain Black,,,, K-CHKBK,90,90,,
1,120,collectibles,,New,,75,165,Bearbrick Rabbrick My Melody (Red Melo Ver.) 400% White/Red,,90,, BB-RAMMMVWHRD,120,120,,
1,60,collectibles,,New,,40,62,Bearbrick Shortrooper 100% Beige,7/1/17 0:00,15,, BB-SH1BGE,60,60,,
,,streetwear,,New,,,64,Supreme Wool Jacquard Beanie Red,10/12/17 0:00,36,, SP-WJBRD,,,,
1,450,collectibles,,New,,,800,KAWS HOLIDAY JAPAN x Herschel Supply Tent Black,7/18/19 0:00,,, K-HOJXHSTBK,450,450,,
1,799,collectibles,,New,,537,690,Bearbrick Jean-Michel Basquiat #4 1000% Blue,,439,, BB-JEB1BL,799,799,,
